ID de Unidad,Tipo,Cluster,Promessa de Entrega,Promessa,Altura,Comprimento,Largura,Peso,Volume,Valor,Rua,Número,Referências,Bairro,Cidade,Estado,CEP,Latitude,Longitude,Precisão,Tipo de Endereço,Status,Hora de Saída,Hora de Chegada,Facility de Origem,Facility,ID de Nodo,Tipo de Nodo,Vigencia Nodo,Exchange Point,Devolução,Tipo de unidad,Agenda,Group,Reverter,Ciclo,Cheapest,Ciclo ETA,Data ETA
46460689135,shipment,A6,13-02-2026 - 16-02-2026,13-02-2026 - 16-02-2026,1,28,21,0.620000,0.000588,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596504,-46.597522,,business,at_station|sorting,14 Feb 26 02:58,14 Feb 26 04:58,BRSP02,SSP21,1725611879,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,14-02-2026
46458168255,shipment,A4,14-02-2026 - 14-02-2026,14-02-2026 - 14-02-2026,12,14,14,0.380000,0.002352,,,,,Aclimação,São Paulo,São Paulo,04109080,-23.577775,-46.630494,,residential,on_hub,14 Feb 26 03:00,24 Feb 26 05:00,BRSP06,SSP21,67941694,buyer,-,BRNSP720,,general_merchant,-,,Não,AM1,Não,AM1,24-02-2026
46461835309,shipment,A6,16-02-2026 - 19-02-2026,16-02-2026 - 19-02-2026,7,32,27,1.000000,0.006048,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596504,-46.597522,,business,at_station|sorting,16 Feb 26 02:57,16 Feb 26 05:00,BRSP02,SSP21,1725611879,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,16-02-2026
46462263580,shipment,A6,16-02-2026 - 19-02-2026,16-02-2026 - 19-02-2026,3,37,24,0.950000,0.002664,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596504,-46.597522,,business,at_station|sorting,16 Feb 26 02:57,16 Feb 26 05:00,BRSP02,SSP21,1725611879,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,16-02-2026
46443464684,shipment,A6,19-02-2026 - 22-02-2026,23-02-2026 - 23-02-2026,6,28,12,0.700000,0.002016,,,,,Saúde,São Paulo,São Paulo,04133000,-23.631727,-46.616760,,business,on_way,23 Feb 26 00:31,23 Feb 26 03:30,BRXSP9,SSP21,226113925,place,-,,,general_merchant,-,,Não,AM1,Sim,AM1,23-02-2026
46463134310,shipment,A6,23-02-2026 - 26-02-2026,23-02-2026 - 26-02-2026,13,29,13,0.650000,0.004901,,,,,Vila Mariana,São Paulo,São Paulo,04121000,-23.596971,-46.631207,,business,at_station|sorting,-,24 Feb 26 04:30,BRXSP1,SSP21,178114235,buyer,-,,,general_merchant,-,,Não,CPM,Sim,AM1,24-02-2026
46458805604,shipment,A3,19-02-2026 - 22-02-2026,19-02-2026 - 22-02-2026,13,50,31,0.500000,0.020150,,,,,Paraíso,São Paulo,São Paulo,04005001,-23.574746,-46.645964,,business,on_way,21 Feb 26 03:00,21 Feb 26 04:30,BRXSP1,SSP21,257023119,buyer,-,,,general_merchant,-,,Não,AM1,Não,AM1,23-02-2026
46463468736,shipment,A8,23-02-2026 - 24-02-2026,23-02-2026 - 24-02-2026,6,22,23,0.290000,0.002907,,,,,Vila Clementino,São Paulo,São Paulo,04040030,-23.599833,-46.635799,,business,at_station|sorting,14 Feb 26 17:50,15 Feb 26 03:00,BRRJ02,SSP21,1656159966,buyer,-,BRNSP943,,general_merchant,-,,Não,AM1,Não,AM1,15-02-2026
46459178633,shipment,A8,17-02-2026 - 20-02-2026,17-02-2026 - 20-02-2026,8,20,18,0.520000,0.002880,,,,,Vila Clementino,São Paulo,São Paulo,04044000,-23.597743,-46.638654,,business,at_station|sorting,14 Feb 26 02:50,14 Feb 26 04:30,BRXSP1,SSP21,252362348,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,14-02-2026
46451558743,shipment,A8,18-02-2026 - 20-02-2026,23-02-2026 - 24-02-2026,12,36,18,0.800000,0.007776,,,,,Vila Mariana,São Paulo,São Paulo,04011062,-23.581215,-46.648072,,business,on_way,21 Feb 26 03:00,21 Feb 26 04:30,BRXSP1,SSP21,213730530,buyer,-,,,general_merchant,-,,Não,AM1,Sim,AM1,21-02-2026
46451691809,shipment,A14,13-02-2026 - 16-02-2026,13-02-2026 - 16-02-2026,6,20,56,0.700000,0.005677,,,,,Liberdade,São Paulo,São Paulo,01506000,-23.557463,-46.635374,,business,at_station|sorting,21 Feb 26 17:52,22 Feb 26 03:00,BRRJ02,SSP21,1098647287,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,23-02-2026
46464557646,shipment,A6,20-02-2026 - 23-02-2026,20-02-2026 - 23-02-2026,3,27,27,3.605000,0.002187,,,,,Jardim da Saúde,São Paulo,São Paulo,04291000,-23.617694,-46.612221,,residential,on_way,22 Feb 26 01:26,22 Feb 26 03:30,BRXSP9,SSP21,419272225,buyer,-,,,general_merchant,-,,Não,AM1,Não,AM1,22-02-2026
46460196591,shipment,A14,17-02-2026 - 20-02-2026,17-02-2026 - 20-02-2026,7,22,15,0.526000,0.002310,,,,,Liberdade,São Paulo,São Paulo,01503001,-23.560102,-46.637925,,business,at_station|sorting,20 Feb 26 00:31,20 Feb 26 04:30,BRXSP1,SSP21,2702589350,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,20-02-2026
46461148166,shipment,A5,24-02-2026 - 25-02-2026,24-02-2026 - 25-02-2026,16,30,26,0.745000,0.012480,,,,,Vila Uberabinha,São Paulo,São Paulo,04514103,-23.602005,-46.670525,,residential,on_way,21 Feb 26 03:00,21 Feb 26 04:30,BRXSP1,SSP21,104845779,buyer,-,BRNSP1535,,general_merchant,-,,Não,AM1,Não,AM1,21-02-2026
46419522714,shipment,A6,09-02-2026 - 12-02-2026,23-02-2026 - 24-02-2026,7,22,30,0.770000,0.004154,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596527,-46.597584,,business,at_station|sorting,20 Feb 26 02:51,20 Feb 26 03:51,BRXSP16,SSP21,1118226826,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,20-02-2026
46466875753,shipment,A14,23-02-2026 - 25-02-2026,01-03-2026 - 01-03-2026,8,43,16,1.206000,0.005504,,,,,Vila Monumento,São Paulo,São Paulo,01553000,-23.574704,-46.608425,,business,on_way,21 Feb 26 03:00,21 Feb 26 04:30,BRXSP1,SSP21,1388247789,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,23-02-2026
46467110787,shipment,A15,18-02-2026 - 18-02-2026,25-02-2026 - 25-02-2026,26,34,22,3.932000,0.019448,,,,,Mirandópolis,São Paulo,São Paulo,04045001,-23.609558,-46.637768,,business,on_way,20 Feb 26 00:15,21 Feb 26 04:30,XMG1,SSP21,1415263913,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,23-02-2026
46467454358,shipment,A6,16-02-2026 - 19-02-2026,16-02-2026 - 19-02-2026,5,30,27,0.710000,0.004050,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596504,-46.597522,,business,at_station|sorting,16 Feb 26 02:57,16 Feb 26 05:00,BRSP02,SSP21,1725611879,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,16-02-2026
46463851770,shipment,A6,15-02-2026 - 15-02-2026,17-02-2026 - 18-02-2026,40,20,39,8.820000,0.031200,,,,,Vila Mariana,São Paulo,São Paulo,04128081,-23.602096,-46.633734,,residential,at_station|sorting,16 Feb 26 02:53,16 Feb 26 05:00,BRSP06,SSP21,269127465,buyer,-,BRNSP943,,general_merchant,-,,Não,AM1,Não,AM1,16-02-2026
46468240052,shipment,A6,16-02-2026 - 19-02-2026,16-02-2026 - 19-02-2026,5,31,28,0.666000,0.004340,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596504,-46.597522,,business,at_station|sorting,16 Feb 26 03:00,16 Feb 26 05:00,BRSP02,SSP21,1725611879,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,16-02-2026
46447858522,shipment,A6,12-02-2026 - 15-02-2026,12-02-2026 - 15-02-2026,10,16,18,0.530000,0.002660,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596504,-46.597522,,business,at_station|sorting,17 Feb 26 01:48,17 Feb 26 05:30,BRXSP2,SSP21,1725611879,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,17-02-2026
46466058141,shipment,A6,23-02-2026 - 26-02-2026,23-02-2026 - 26-02-2026,4,11,18,0.210000,0.000734,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596502,-46.597552,,business,at_station|sorting,21 Feb 26 00:33,21 Feb 26 04:30,BRXSP1,SSP21,1887536868,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,23-02-2026
46468900883,shipment,A14,19-02-2026 - 21-02-2026,19-02-2026 - 21-02-2026,6,36,27,1.136000,0.005832,,,,,Liberdade,São Paulo,São Paulo,01503001,-23.558150,-46.636950,,business,on_way,21 Feb 26 03:00,21 Feb 26 04:30,BRXSP1,SSP21,74384497,buyer,-,,,general_merchant,-,,Não,AM1,Não,AM1,21-02-2026
46467848503,shipment,A8,18-02-2026 - 23-02-2026,18-02-2026 - 23-02-2026,5,13,17,0.200000,0.000930,,,,,Vila Clementino,São Paulo,São Paulo,04044000,-23.597743,-46.638654,,business,at_station|sorting,17 Feb 26 02:56,17 Feb 26 04:00,BRXSP16,SSP21,252362348,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,17-02-2026
46471367941,shipment,A8,18-02-2026 - 20-02-2026,18-02-2026 - 20-02-2026,1,9,6,0.020000,0.000054,,,,,Vila Mariana,São Paulo,São Paulo,04015030,-23.586973,-46.645134,,residential,at_station|sorting,17 Feb 26 02:40,17 Feb 26 04:10,BRXSP1,SSP21,1582981167,buyer,-,BRNSP943,,general_merchant,-,,Não,AM1,Não,AM1,17-02-2026
46471557291,shipment,A8,19-02-2026 - 23-02-2026,19-02-2026 - 23-02-2026,3,47,15,0.415000,0.002115,,,,,Vila Mariana,São Paulo,São Paulo,04126000,-23.598158,-46.632895,,residential,on_way,21 Feb 26 03:00,21 Feb 26 04:30,BRXSP1,SSP21,307288477,buyer,-,,,general_merchant,-,,Não,AM1,Não,AM1,21-02-2026
